Release Height (m),Radionuclide,Distance (m),Stability Category,Dose
10,Cs-137,1600,1,1.1326836841904568e-10
10,Cs-137,1600,2,8.280079896379605e-10
10,Cs-137,1600,3,1.672547714408531e-09
10,Cs-137,1600,4,3.31626955021908e-09
10,Cs-137,1600,5,4.9926589010051395e-09
10,Cs-137,1600,6,7.4298293768315665e-09
10,Cs-134,1600,1,3.0472269686624806e-10
10,Cs-134,1600,2,2.2117492578491707e-09
10,Cs-134,1600,3,4.450501140163671e-09
10,Cs-134,1600,4,8.801717444503221e-09
10,Cs-134,1600,5,1.3241671572285633e-08
10,Cs-134,1600,6,1.9704207678525548e-08
10,Ar-41,1600,1,2.512532149781452e-10
10,Ar-41,1600,2,1.706880605775252e-09
10,Ar-41,1600,3,3.3121894137049883e-09
10,Ar-41,1600,4,6.383115209145414e-09
10,Ar-41,1600,5,9.524905677459132e-09
10,Ar-41,1600,6,1.413854895264652e-08
10,Xe-135,1600,1,4.6667425279525356e-11
10,Xe-135,1600,2,3.6616342291942286e-10
10,Xe-135,1600,3,7.81401239621588e-10
10,Xe-135,1600,4,1.6228491767759607e-09
10,Xe-135,1600,5,2.481280530999476e-09
10,Xe-135,1600,6,3.7093810697382237e-09
10,Co-60,1600,1,4.921727707836882e-10
10,Co-60,1600,2,3.356623366112196e-09
10,Co-60,1600,3,6.52598029594255e-09
10,Co-60,1600,4,1.2592977689899116e-08
10,Co-60,1600,5,1.8798846373537254e-08
10,Co-60,1600,6,2.7907979912562706e-08
10,I-131,1600,1,7.627592026468092e-11
10,I-131,1600,2,5.810355770661364e-10
10,I-131,1600,3,1.2097304758092451e-09
10,I-131,1600,4,2.4583491612612046e-09
10,I-131,1600,5,3.730791156971789e-09
10,I-131,1600,6,5.5638944898436395e-09
10,I-132,1600,1,4.4085240304097936e-10
10,I-132,1600,2,3.1644648711131395e-09
10,I-132,1600,3,6.3300020631470954e-09
10,I-132,1600,4,1.2466207688144233e-08
10,I-132,1600,5,1.8729241757050592e-08
10,I-132,1600,6,2.7856752607553075e-08
10,Kr-87,1600,1,1.5108059339359863e-10
10,Kr-87,1600,2,1.0181533826668806e-09
10,Kr-87,1600,3,1.988881697815029e-09
10,Kr-87,1600,4,3.860418989401366e-09
10,Kr-87,1600,5,5.7728076299513014e-09
10,Kr-87,1600,6,8.566491010668504e-09
10,Kr-88,1600,1,3.5936456305543616e-10
10,Kr-88,1600,2,2.3292837137466007e-09
10,Kr-88,1600,3,4.446422219912635e-09
10,Kr-88,1600,4,8.48441067357558e-09
10,Kr-88,1600,5,1.2617943933376984e-08
10,Kr-88,1600,6,1.8692319897233654e-08
10,Kr-85,1600,1,4.5311109389875554e-13
10,Kr-85,1600,2,3.383051102090726e-12
10,Kr-85,1600,3,6.9319281238007065e-12
10,Kr-85,1600,4,1.389653440262058e-11
10,Kr-85,1600,5,2.0994306184163056e-11
10,Kr-85,1600,6,3.127031919349841e-11
10,Sr-85,1600,1,1.0260254245113064e-10
10,Sr-85,1600,2,7.66057706806006e-10
10,Sr-85,1600,3,1.5696637271629663e-09
10,Sr-85,1600,4,3.146725019017288e-09
10,Sr-85,1600,5,4.753940257640674e-09
10,Sr-85,1600,6,7.080835092022195e-09
10,Ru-103,1600,1,1.0065586836799996e-10
10,Ru-103,1600,2,7.525997471473346e-10
10,Ru-103,1600,3,1.5437974903944723e-09
10,Ru-103,1600,4,3.09782501463772e-09
10,Ru-103,1600,5,4.681648118079662e-09
10,Ru-103,1600,6,6.9740700326930515e-09
10,Ru-106,1600,1,3.9283091170872366e-11
10,Ru-106,1600,2,2.8947035362722286e-10
10,Ru-106,1600,3,5.883212778237506e-10
10,Ru-106,1600,4,1.172354833263917e-09
10,Ru-106,1600,5,1.7678634801159183e-09
10,Ru-106,1600,6,2.6319896882871767e-09
10,Na-22,1600,1,4.3640236601495744e-10
10,Na-22,1600,2,3.0934349018403582e-09
10,Na-22,1600,3,6.157309156901641e-09
10,Na-22,1600,4,1.2092323971633276e-08
10,Na-22,1600,5,1.815287758894332e-08
10,Na-22,1600,6,2.6991276257717955e-08
10,Eu-152,1600,1,2.098018589779388e-10
10,Eu-152,1600,2,1.479990089185774e-09
10,Eu-152,1600,3,2.942198478169352e-09
10,Eu-152,1600,4,5.781466846461115e-09
10,Eu-152,1600,5,8.684396709191352e-09
10,Eu-152,1600,6,1.2919702463989369e-08
10,Eu-154,1600,1,2.3078563140466446e-10
10,Eu-154,1600,2,1.6244842798354275e-09
10,Eu-154,1600,3,3.222053001171605e-09
10,Eu-154,1600,4,6.3194004765220215e-09
10,Eu-154,1600,5,9.487387526853886e-09
10,Eu-154,1600,6,1.4114620474736212e-08
10,Eu-155,1600,1,1.026351347086843e-11
10,Eu-155,1600,2,8.411401274167195e-11
10,Eu-155,1600,3,1.8841084455603235e-10
10,Eu-155,1600,4,4.144494071302279e-10
10,Eu-155,1600,5,6.508315931402053e-10
10,Eu-155,1600,6,9.91412697915856e-10
10,Cs-137,2000,1,5.878996935954951e-11
10,Cs-137,2000,2,5.70809270323307e-10
10,Cs-137,2000,3,1.2407010734671061e-09
10,Cs-137,2000,4,2.645549403187062e-09
10,Cs-137,2000,5,4.079177917234901e-09
10,Cs-137,2000,6,6.217887193076135e-09
10,Cs-134,2000,1,1.583001777771767e-10
10,Cs-134,2000,2,1.5277361798929923e-09
10,Cs-134,2000,3,3.306242129524568e-09
10,Cs-134,2000,4,7.026102456040596e-09
10,Cs-134,2000,5,1.0822205239862056e-08
10,Cs-134,2000,6,1.6490205216135706e-08
10,Ar-41,2000,1,1.3158857739706611e-10
10,Ar-41,2000,2,1.2007257619477481e-09
10,Ar-41,2000,3,2.495395446836097e-09
10,Ar-41,2000,4,5.129728114963016e-09
10,Ar-41,2000,5,7.812449912762983e-09
10,Ar-41,2000,6,1.1842116517950569e-08
10,Xe-135,2000,1,2.404275987800294e-11
10,Xe-135,2000,2,2.4667952289175136e-10
10,Xe-135,2000,3,5.67160106484529e-10
10,Xe-135,2000,4,1.2795421348916466e-09
10,Xe-135,2000,5,2.0135960090514033e-09
10,Xe-135,2000,6,3.099567752850065e-09
